session_id,customer_id,session_date,traffic_source,device,converted
1,1,2025-06-12,Google Ads,Desktop,0
2,1,2025-08-31,Google Ads,Mobile,0
3,1,2024-12-22,Google Ads,Mobile,0
4,1,2024-11-05,Google Ads,Mobile,0
5,1,2025-11-02,Google Ads,Mobile,0
6,1,2025-10-03,Google Ads,Mobile,0
7,1,2025-10-03,Google Ads,Mobile,1
8,1,2024-02-22,Google Ads,Mobile,0
9,1,2025-01-23,Google Ads,Desktop,0
10,1,2024-10-04,Google Ads,Mobile,1
11,1,2024-09-30,Google Ads,Mobile,0
12,1,2025-08-14,Google Ads,Mobile,0
13,1,2024-03-01,Google Ads,Desktop,0
14,1,2025-05-09,Google Ads,Mobile,0
15,1,2024-02-09,Google Ads,Mobile,0
16,1,2025-09-09,Google Ads,Mobile,0
17,1,2024-07-27,Google Ads,Desktop,1
18,1,2024-09-17,Google Ads,Mobile,0
19,1,2025-09-09,Google Ads,Mobile,1
20,1,2025-12-02,Google Ads,Desktop,1
21,1,2025-03-26,Google Ads,Mobile,0
22,1,2024-03-12,Google Ads,Mobile,0
23,2,2025-06-15,Facebook,Desktop,0
24,2,2024-02-17,Facebook,Mobile,1
25,2,2024-06-23,Facebook,Mobile,0
26,2,2024-04-19,Facebook,Mobile,1
27,2,2025-02-17,Facebook,Mobile,0
28,2,2025-06-05,Facebook,Desktop,0
29,2,2024-03-27,Facebook,Mobile,1
30,2,2024-10-15,Facebook,Mobile,1
31,2,2024-05-20,Facebook,Mobile,0
32,2,2025-06-21,Facebook,Mobile,0
33,2,2024-05-11,Facebook,Mobile,0
34,2,2024-02-11,Facebook,Mobile,1
35,2,2024-09-08,Facebook,Desktop,0
36,2,2024-08-14,Facebook,Mobile,0
37,2,2025-03-17,Facebook,Mobile,0
38,3,2024-09-22,Organic,Mobile,0
39,3,2024-12-26,Organic,Mobile,1
40,3,2025-12-26,Organic,Desktop,1
41,3,2025-09-15,Organic,Mobile,0
42,3,2025-03-02,Organic,Mobile,1
43,3,2025-06-23,Organic,Mobile,1
44,3,2024-12-29,Organic,Desktop,0
45,3,2024-08-19,Organic,Mobile,1
46,3,2024-11-29,Organic,Mobile,0
47,3,2024-12-09,Organic,Mobile,0
48,3,2024-10-26,Organic,Mobile,0
49,3,2025-04-30,Organic,Mobile,0
