customer_id,customer_name,signup_date,city,acquisition_channel,gender,age
1,Customer_1,2024-01-27,Delhi,Organic,Female,35
2,Customer_2,2024-02-25,Hyderabad,Referral,Female,39
3,Customer_3,2024-01-27,Bangalore,Google Ads,Female,53
4,Customer_4,2024-06-19,Pune,Google Ads,Male,18
5,Customer_5,2024-08-11,Hyderabad,Facebook,Female,22
6,Customer_6,2024-01-04,Delhi,Referral,Male,20
7,Customer_7,2024-02-17,Pune,Google Ads,Male,19
8,Customer_8,2024-05-29,Mumbai,Facebook,Female,34
9,Customer_9,2024-08-28,Hyderabad,Instagram,Female,51
10,Customer_10,2024-09-04,Bangalore,Facebook,Female,18
11,Customer_11,2024-07-22,Pune,Facebook,Female,52
12,Customer_12,2024-11-22,Pune,Facebook,Female,51
13,Customer_13,2024-12-08,Mumbai,Instagram,Male,59
14,Customer_14,2024-04-02,Pune,Organic,Female,60
15,Customer_15,2024-05-14,Bangalore,Instagram,Female,53
16,Customer_16,2024-07-19,Hyderabad,Referral,Female,54
17,Customer_17,2024-06-21,Hyderabad,Google Ads,Male,58
18,Customer_18,2024-07-05,Hyderabad,Instagram,Male,43
19,Customer_19,2024-09-29,Chennai,Organic,Female,49
20,Customer_20,2024-11-18,Pune,Google Ads,Female,29
21,Customer_21,2024-03-19,Chennai,Referral,Female,47
22,Customer_22,2024-01-23,Hyderabad,Google Ads,Female,30
23,Customer_23,2024-01-11,Delhi,Instagram,Female,45
24,Customer_24,2024-11-20,Mumbai,Organic,Male,57
25,Customer_25,2024-02-02,Chennai,Instagram,Male,23
26,Customer_26,2024-08-09,Hyderabad,Facebook,Female,22
27,Customer_27,2024-10-06,Pune,Referral,Male,38
28,Customer_28,2024-05-14,Mumbai,Organic,Female,44
29,Customer_29,2024-06-27,Hyderabad,Google Ads,Female,22
30,Customer_30,2024-12-13,Bangalore,Instagram,Male,23
31,Customer_31,2024-11-17,Hyderabad,Facebook,Female,52
32,Customer_32,2024-06-05,Bangalore,Instagram,Female,41
33,Customer_33,2024-03-05,Chennai,Instagram,Male,58
34,Customer_34,2024-03-26,Chennai,Referral,Female,21
35,Customer_35,2024-03-10,Mumbai,Organic,Female,46
36,Customer_36,2024-12-30,Pune,Referral,Female,45
37,Customer_37,2024-01-15,Bangalore,Facebook,Female,51
38,Customer_38,2024-09-20,Chennai,Google Ads,Female,50
39,Customer_39,2024-02-23,Chennai,Instagram,Male,54
40,Customer_40,2024-06-23,Hyderabad,Instagram,Male,31
41,Customer_41,2024-06-13,Delhi,Referral,Male,50
42,Customer_42,2024-02-11,Bangalore,Facebook,Male,19
43,Customer_43,2024-04-09,Delhi,Facebook,Male,23
44,Customer_44,2024-11-03,Delhi,Organic,Female,53
45,Customer_45,2024-10-02,Bangalore,Facebook,Male,48
46,Customer_46,2024-09-09,Pune,Referral,Male,34
47,Customer_47,2024-12-31,Chennai,Referral,Female,43
48,Customer_48,2024-04-24,Chennai,Google Ads,Male,56
49,Customer_49,2024-11-07,Mumbai,Instagram,Male,21
50,Customer_50,2024-07-03,Mumbai,Instagram,Female,38
51,Customer_51,2024-07-02,Bangalore,Referral,Female,30
52,Customer_52,2024-04-02,Mumbai,Organic,Female,42
53,Customer_53,2024-09-13,Delhi,Google Ads,Female,41
54,Customer_54,2024-02-05,Delhi,Organic,Female,50
55,Customer_55,2024-11-05,Delhi,Organic,Female,21
56,Customer_56,2024-10-27,Mumbai,Instagram,Male,47
57,Customer_57,2024-10-20,Pune,Instagram,Male,59
58,Customer_58,2024-08-16,Delhi,Referral,Female,33
59,Customer_59,2024-12-19,Mumbai,Facebook,Female,39
60,Customer_60,2024-01-25,Bangalore,Organic,Male,45
61,Customer_61,2024-12-04,Mumbai,Google Ads,Female,52
62,Customer_62,2024-01-22,Mumbai,Facebook,Male,38
63,Customer_63,2024-07-08,Bangalore,Facebook,Male,47
64,Customer_64,2024-09-15,Chennai,Instagram,Male,38
65,Customer_65,2024-07-16,Bangalore,Organic,Female,36
66,Customer_66,2024-03-27,Mumbai,Instagram,Female,20
67,Customer_67,2024-11-06,Hyderabad,Referral,Male,30
68,Customer_68,2024-01-24,Delhi,Facebook,Male,51
69,Customer_69,2024-04-09,Delhi,Referral,Female,32
70,Customer_70,2024-05-24,Chennai,Organic,Male,46
71,Customer_71,2024-11-09,Chennai,Facebook,Female,30
72,Customer_72,2024-09-23,Hyderabad,Referral,Female,46
73,Customer_73,2024-02-26,Hyderabad,Facebook,Female,59
74,Customer_74,2024-08-11,Chennai,Instagram,Male,49
75,Customer_75,2024-03-09,Bangalore,Google Ads,Male,20
76,Customer_76,2024-05-05,Bangalore,Organic,Female,19
77,Customer_77,2024-01-06,Mumbai,Instagram,Male,20
78,Customer_78,2024-05-06,Pune,Referral,Female,29
79,Customer_79,2024-06-04,Hyderabad,Instagram,Female,31
80,Customer_80,2024-09-20,Hyderabad,Instagram,Male,47
81,Customer_81,2024-04-25,Mumbai,Google Ads,Female,43
82,Customer_82,2024-10-13,Bangalore,Referral,Male,49
83,Customer_83,2024-01-22,Delhi,Google Ads,Female,24
84,Customer_84,2024-03-05,Hyderabad,Referral,Female,53
85,Customer_85,2024-11-10,Hyderabad,Referral,Female,36
86,Customer_86,2024-07-04,Bangalore,Referral,Male,24
87,Customer_87,2024-09-17,Hyderabad,Facebook,Female,23
88,Customer_88,2024-12-08,Bangalore,Referral,Male,44
89,Customer_89,2024-03-05,Mumbai,Google Ads,Male,28
90,Customer_90,2024-02-14,Delhi,Organic,Male,27
91,Customer_91,2024-04-22,Mumbai,Referral,Male,60
92,Customer_92,2024-07-26,Hyderabad,Organic,Male,25
93,Customer_93,2024-08-24,Pune,Organic,Male,60
94,Customer_94,2024-01-22,Delhi,Referral,Male,33
95,Customer_95,2024-04-30,Mumbai,Instagram,Male,23
96,Customer_96,2024-12-11,Hyderabad,Instagram,Female,60
97,Customer_97,2024-07-24,Delhi,Google Ads,Male,21
98,Customer_98,2024-10-08,Hyderabad,Organic,Male,36
99,Customer_99,2024-04-30,Bangalore,Facebook,Male,56
100,Customer_100,2024-11-24,Chennai,Instagram,Female,53
101,Customer_101,2024-07-07,Delhi,Google Ads,Female,20
102,Customer_102,2024-11-04,Delhi,Instagram,Female,18
103,Customer_103,2024-06-28,Chennai,Organic,Female,23
104,Customer_104,2024-07-12,Pune,Google Ads,Female,46
105,Customer_105,2024-02-23,Pune,Facebook,Male,43
106,Customer_106,2024-11-21,Pune,Organic,Male,31
107,Customer_107,2024-07-02,Mumbai,Referral,Female,59
108,Customer_108,2024-10-10,Chennai,Google Ads,Female,19
109,Customer_109,2024-05-13,Pune,Organic,Male,30
110,Customer_110,2024-07-06,Bangalore,Organic,Male,56
111,Customer_111,2024-02-21,Delhi,Organic,Male,41
112,Customer_112,2024-01-30,Delhi,Instagram,Male,34
113,Customer_113,2024-07-29,Hyderabad,Facebook,Female,51
114,Customer_114,2024-10-10,Hyderabad,Facebook,Male,39
115,Customer_115,2024-05-26,Pune,Instagram,Female,33
116,Customer_116,2024-01-03,Hyderabad,Organic,Male,46
117,Customer_117,2024-07-17,Delhi,Google Ads,Male,42
118,Customer_118,2024-01-01,Mumbai,Google Ads,Male,18
119,Customer_119,2024-08-01,Bangalore,Organic,Male,52
120,Customer_120,2024-05-16,Mumbai,Google Ads,Female,37
121,Customer_121,2024-02-03,Hyderabad,Organic,Female,35
122,Customer_122,2024-10-18,Hyderabad,Facebook,Male,37
123,Customer_123,2024-06-08,Chennai,Facebook,Female,19
124,Customer_124,2024-12-06,Bangalore,Instagram,Female,30
125,Customer_125,2024-08-06,Bangalore,Referral,Male,45
126,Customer_126,2024-02-03,Bangalore,Google Ads,Male,53
127,Customer_127,2024-04-23,Hyderabad,Referral,Male,43
128,Customer_128,2024-10-18,Pune,Referral,Female,22
129,Customer_129,2024-04-20,Hyderabad,Referral,Male,52
